timestamp,heatpump_elec,heatpump_heat,heatpump_returnT,heatpump_flowT,heatpump_roomT,heatpump_outsideT,heatpump_flowrate,series_id,capacity_kw
2025-02-20 01:00:00+00:00,355.55292483358994,1833.3280449761285,27.16419456799825,31.146500073538885,20.200000762939453,10.525,6.656151662932502,162,6.0
2025-02-20 02:00:00+00:00,353.32172672197345,1845.2045335557725,27.178250228034127,31.184750027126736,20.200000762939453,10.933333333333334,6.658049836423662,162,6.0
2025-02-20 03:00:00+00:00,350.89192314466726,1831.6278561062284,27.232611068089803,31.20761119524638,20.200000762939453,11.033333333333333,6.66263325744205,162,6.0
2025-02-20 04:00:00+00:00,346.8233981331743,1865.4027218288845,27.26033345328437,31.30686108271281,20.200000762939453,11.333333333333334,6.664809237586128,162,6.0
2025-02-20 05:00:00+00:00,345.0103054631055,1907.1976750195856,27.35618389416538,31.4945125367316,20.293333053588867,11.858333333333333,6.662621637572817,162,6.0
2025-02-20 06:00:00+00:00,342.1119778348875,1889.1383104112413,27.401527860429553,31.500749927096898,20.19999977747599,12.183333333333334,6.66300364335378,162,6.0
2025-02-20 07:00:00+00:00,339.2423394078332,1866.0978403727213,27.42369423972236,31.473138915167915,20.468333212534585,12.458333333333334,6.662031405501896,162,6.0
2025-02-20 08:00:00+00:00,338.70306494242635,1840.509280734592,27.502972337934708,31.495360994338988,20.645000553131105,12.5,6.664809221691556,162,6.0
2025-02-20 09:00:00+00:00,335.456824597542,1867.0114759657117,27.60238873693678,31.65211097929213,20.706667327880858,12.616666666666667,6.665364776717292,162,6.0
2025-02-20 10:00:00+00:00,333.08217291446783,1790.2249582926431,27.664638821283976,31.54711101320055,20.766666412353516,12.716666666666667,6.665781446297964,162,6.0
2025-02-20 11:00:00+00:00,330.52674058154435,1798.8761315239801,27.698444477717082,31.601499949561227,20.793332672119142,12.516666666666667,6.6636055005921255,162,6.0
2025-02-20 12:00:00+00:00,323.9883010141697,1773.6930304633247,27.79530536863539,31.641277742385864,20.799999237060547,12.833333333333334,6.667448163032532,162,6.0
2025-02-20 13:00:00+00:00,296.3022281572347,1650.6923453966776,27.795722103118898,31.68477793269687,20.909999656677247,12.725,6.087158782987131,162,6.0
2025-02-20 14:00:00+00:00,11.545125360940492,6.1967569510142,26.539111153284708,30.085388935936823,20.829999732971192,12.5,0.023194907967829043,162,6.0
2025-02-20 15:00:00+00:00,13.22646239607447,0.0,24.666462412119575,27.430752177756478,20.774999618530273,12.991666666666667,0.0,162,6.0
2025-02-20 16:00:00+00:00,15.625905315856084,0.0,23.525292399201884,25.63242351245083,20.70508539878716,12.5,0.0,162,6.0
2025-02-20 17:00:00+00:00,15.623119789909852,0.0,22.639861006206935,24.190472184287177,20.538333479563395,12.0,0.0,162,6.0
2025-02-20 18:00:00+00:00,15.527576627173463,0.0,21.8982221921285,23.073999982410008,20.25,12.0,0.0,162,6.0
2025-02-20 19:00:00+00:00,15.539554322330401,0.0,21.367250045140583,22.210222254859076,20.185000705718995,12.0,0.0,162,6.0
2025-02-20 20:00:00+00:00,15.179387196192835,0.0,20.931197726958974,21.48440119815072,20.100000381469727,12.0,0.0,162,6.0
2025-02-20 21:00:00+00:00,273.70083559721627,1264.9636209699843,20.554333278867933,21.74441669782003,20.120000457763673,11.716666666666667,4.040451185570823,162,6.0
2025-02-20 22:00:00+00:00,1399.5749311101802,5927.923910861545,34.69569434059991,38.87294463581509,20.200000762939453,10.95,20.255543931325278,162,6.0
2025-02-20 23:00:00+00:00,858.6810593857407,2274.5656556659274,46.499360942840575,50.36800026363797,20.200000762939453,11.45,9.566904187533591,162,6.0
2025-02-21 00:00:00+00:00,11.62005571402547,0.0,37.475694465637204,42.565555561913385,20.200000762939453,11.933333333333334,0.0,162,6.0
